X1,Country,effect,month,numberes_affected,year
1,afghanistan,kidnapped,january,0,2017
71,afghanistan,kidnapped,february,3,2017
141,afghanistan,kidnapped,march,0,2017
211,afghanistan,kidnapped,april,0,2017
281,afghanistan,kidnapped,may,1,2017
351,afghanistan,kidnapped,june,0,2017
421,afghanistan,kidnapped,july,0,2017
491,afghanistan,kidnapped,august,0,2017
561,afghanistan,kidnapped,september,0,2017
631,afghanistan,kidnapped,october,0,2017
701,afghanistan,kidnapped,november,0,2017
771,afghanistan,kidnapped,december,0,2017
841,afghanistan,killed,january,0,2017
911,afghanistan,killed,february,6,2017
981,afghanistan,killed,march,0,2017
1051,afghanistan,killed,april,0,2017
1121,afghanistan,killed,may,2,2017
1191,afghanistan,killed,june,0,2017
1261,afghanistan,killed,july,0,2017
1331,afghanistan,killed,august,3,2017
1401,afghanistan,killed,september,1,2017
1471,afghanistan,killed,october,0,2017
1541,afghanistan,killed,november,0,2017
1611,afghanistan,killed,december,0,2017
1681,afghanistan,arrested,january,0,2017
1751,afghanistan,arrested,february,0,2017
1821,afghanistan,arrested,march,0,2017
1891,afghanistan,arrested,april,0,2017
1961,afghanistan,arrested,may,0,2017
2031,afghanistan,arrested,june,0,2017
2101,afghanistan,arrested,july,0,2017
2171,afghanistan,arrested,august,0,2017
2241,afghanistan,arrested,september,0,2017
2311,afghanistan,arrested,october,0,2017
2381,afghanistan,arrested,november,0,2017
2451,afghanistan,arrested,december,0,2017
2521,afghanistan,killed,january,1,2018
2522,afghanistan,killed,january,5,2018
2548,afghanistan,killed,february,0,2018
2549,afghanistan,killed,february,0,2018
2617,afghanistan,killed,april,0,2018
2648,afghanistan,killed,may,5,2018
2649,afghanistan,killed,may,1,2018
2670,afghanistan,killed,june,0,2018
2697,afghanistan,killed,july,0,2018
2698,afghanistan,killed,july,2,2018
2734,afghanistan,killed,october,0,2018
2759,afghanistan,killed,december,0,2018
2770,afghanistan,kidnapped,january,1,2018
2771,afghanistan,kidnapped,january,0,2018
2797,afghanistan,kidnapped,february,0,2018
2798,afghanistan,kidnapped,february,0,2018
2866,afghanistan,kidnapped,april,1,2018
2897,afghanistan,kidnapped,may,1,2018
2898,afghanistan,kidnapped,may,0,2018
2919,afghanistan,kidnapped,june,1,2018
2946,afghanistan,kidnapped,july,12,2018
2947,afghanistan,kidnapped,july,0,2018
2983,afghanistan,kidnapped,october,1,2018
3008,afghanistan,kidnapped,december,0,2018
3019,afghanistan,arrested,january,0,2018
3020,afghanistan,arrested,january,0,2018
3046,afghanistan,arrested,february,1,2018
3047,afghanistan,arrested,february,1,2018
3115,afghanistan,arrested,april,0,2018
3146,afghanistan,arrested,may,0,2018
3147,afghanistan,arrested,may,0,2018
3168,afghanistan,arrested,june,0,2018
3195,afghanistan,arrested,july,0,2018
3196,afghanistan,arrested,july,0,2018
3232,afghanistan,arrested,october,0,2018
3257,afghanistan,arrested,december,1,2018
3268,afghanistan,killed,may,3,2019
3269,afghanistan,killed,may,2,2019
3270,afghanistan,killed,may,0,2019
3319,afghanistan,kidnapped,may,0,2019
3320,afghanistan,kidnapped,may,0,2019
3321,afghanistan,kidnapped,may,4,2019
3370,afghanistan,arrested,may,0,2019
3371,afghanistan,arrested,may,0,2019
